id	label	text
1344688894038695939	0	We are excited to receive news that we will be one of the first organisations to take delivery of the new Astra Zeneca vaccine. We have been working tirelessly over Christmas to set up our vaccination clinics - starting with 80yrs+. care homes and health and care staff.
1344689204899565571	0	Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ 
1344689375079247872	0	If you're still excited about the new year, you don't need to worry about what's in the vaccine.
1344689636615073793	1	A new strain, more contagious....yet the same rushed vaccine will save you. Hurry up and get in line for your shot!!! 
1344689691052838915	0	Covid vaccine first dose: done! Excited to be a part of this. Science wins!!! 
1344690018300911616	1	35,000 Soldiers Died from the Experimental Anthrax Vaccine – More Than Those Who Died in Combat in Afghanistan and Iraq Combined 
1344691087164653571	1	Hmmm. For #Idaho, 56,225 #covid vaccines available and only 15,780 administered? Not even 30%. Seems like there isn't a high demand for this rushed vaccine. I'm curious as to the percentage of health care workers who choose to not get this vaccine. 
1344693328730677255	1	56,225 #covid vaccines available and only 15,780 administered? Not even 30%. Seems there isn't a high demand for this rushed vaccine. I'm curious as to the percentage of health care workers who choose to not get it. 
1344695753839685634	0	I’ve never been excited for a shot but I am OVER THE MOON to have received my first dose of the Moderna #CovidVaccine! Feeling thankful and hopeful. #igottheshot 
1344696094740115458	0	Here's to health in 2021! We are excited to report that all three Nicholson Clinic surgeons have received their first dose of the COVID-19 vaccine. We look forward to continuing to help our patients stay safe and healthy in the new year! 
1344698975098707968	0	Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ 
1344700566396497920	0	I just scheduled my Covid vaccine I'm so excited you guys
1344702824181993472	0	Is it wrong that I'm more excited by the technology of this inject-through bandaid than by the fact that I just got my first dose of the Moderna vaccine? 
1344703158757548032	0	Very excited to schedule the COVID vaccine and extremely proud how promptly MS3/MS4 students were prioritized 
1344703500110995458	0	What a way to end 2020, so excited to get my vaccine today with and what the vaccination team have achieved in the last week is truly remarkable, a well oiled machine and all delivered with a smile, well done all 
1344703890315382784	1	Maybe this will get me an untested vaccine sooner....I just completed the COVID-19 prevention clinical studies volunteer registry questionnaire. 
1344704027087536131	0	Excited for the first otter nurse to stream live from PV about why they're turning down the vaccine
1344707339270713350	0	2021 will hopefully eventually get better, especially after the vaccine !! Excited to be reunited with Jess, Hekleigh and Olivore!! Loey and I do be going to a cat cafe when it opens back up with my buddies hopefully going Athens 
1344708288013856768	0	In other news, I’m excited to get the vaccine. If it means protecting my kids and loved ones, I’m here for it!!! :crossed_fingers::medium_skin_tone:
1344709040195166210	1	What a Vaccine! The people who said the world is over populated are now spending billions of dollars to save the world from depopulation.
1344709600663269378	0	Super excited for my sister who just got her first dose of the Moderna vaccine! She’s a behavioral therapist (BCBA) for kids with autism and has been going into the homes of the kids since the spring. I’m very happy for her increased safety and 50% vaccination status! 
1344709672654303237	0	Excited and grateful for ending 2020 with the first dose of the coronavirus vaccine in my arm! :syringe::muscle::medium_skin_tone: #VaccinesWork 2020 has been a year of huge scientific breakthroughs, and also the year that the gen pop learnt what PCR, mRNA and IgG are #sciencebitch :clinking_glasses:to more in 2021!
1344710071415152641	0	Getting my covid-19 vaccine on Saturday! Super excited :smiling_face_with_three_hearts:
1344712049176309763	0	Omg omg omg I'm getting my vaccine tomorrow. I'm so excited!!!!!
1344714399781593088	0	I get my first dose of the Pfizer vaccine today. Wish me luck! I'm both scared and excited, like the first time you try anal sex. 
1344717229745713152	0	So excited to have received my vaccine today! Thankful for the absolute organization efficiency w/ which delivered it. Proud to be on the front lines doing everything I can to help end this pandemic #covidvaccine #COVID19vaccine #getvaccinated #tweetiatrician 
